transaction_id,user_id,subs_id,transaction_status,price_plan_id,transaction_amount,txn_created_timestamp,transaction_updated_timestamp,transaction_timestamp,transaction_status
1,1,1,failed,3,23,2023-08-23 19:18:59,2023-08-23 19:18:59,2023-08-23 19:18:59,failed
2,2,2,failed,2,39,2023-03-23 19:18:59,2023-03-23 19:18:59,2023-03-23 19:18:59,failed
3,3,3,failed,3,24,2023-05-28 19:18:59,2023-05-28 19:18:59,2023-05-28 19:18:59,failed
4,4,4,failed,1,19,2023-02-15 19:18:59,2023-02-15 19:18:59,2023-02-15 19:18:59,failed
5,5,5,failed,1,25,2022-11-25 19:18:59,2022-11-25 19:18:59,2022-11-25 19:18:59,failed
6,6,6,failed,1,67,2023-05-07 19:18:59,2023-05-07 19:18:59,2023-05-07 19:18:59,failed
7,7,7,success,1,96,2023-07-26 19:18:59,2023-07-26 19:18:59,2023-07-26 19:18:59,success
8,8,8,success,2,100,2023-02-28 19:18:59,2023-02-28 19:18:59,2023-02-28 19:18:59,success
9,9,9,success,2,85,2022-12-27 19:18:59,2022-12-27 19:18:59,2022-12-27 19:18:59,success
10,10,10,failed,1,20,2023-04-27 19:18:59,2023-04-27 19:18:59,2023-04-27 19:18:59,failed
11,11,11,failed,1,90,2022-12-14 19:18:59,2022-12-14 19:18:59,2022-12-14 19:18:59,failed
12,12,12,success,2,36,2022-12-01 19:18:59,2022-12-01 19:18:59,2022-12-01 19:18:59,success
13,13,13,failed,2,21,2023-07-17 19:18:59,2023-07-17 19:18:59,2023-07-17 19:18:59,failed
14,14,14,failed,3,17,2023-01-07 19:18:59,2023-01-07 19:18:59,2023-01-07 19:18:59,failed
15,15,15,success,1,13,2023-05-29 19:18:59,2023-05-29 19:18:59,2023-05-29 19:18:59,success
16,16,16,failed,2,44,2022-09-19 19:18:59,2022-09-19 19:18:59,2022-09-19 19:18:59,failed
17,17,17,success,2,62,2023-05-08 19:18:59,2023-05-08 19:18:59,2023-05-08 19:18:59,success
18,18,18,success,2,68,2023-08-04 19:18:59,2023-08-04 19:18:59,2023-08-04 19:18:59,success
19,19,19,failed,2,68,2023-02-22 19:18:59,2023-02-22 19:18:59,2023-02-22 19:18:59,failed
20,20,20,success,1,13,2023-08-31 19:18:59,2023-08-31 19:18:59,2023-08-31 19:18:59,success
21,21,21,failed,2,81,2022-10-29 19:18:59,2022-10-29 19:18:59,2022-10-29 19:18:59,failed
22,22,22,success,1,48,2023-03-06 19:18:59,2023-03-06 19:18:59,2023-03-06 19:18:59,success
23,23,23,success,3,53,2022-12-24 19:18:59,2022-12-24 19:18:59,2022-12-24 19:18:59,success
24,24,24,failed,2,74,2023-02-27 19:18:59,2023-02-27 19:18:59,2023-02-27 19:18:59,failed
25,25,25,success,2,65,2023-03-27 19:18:59,2023-03-27 19:18:59,2023-03-27 19:18:59,success
26,26,26,failed,3,27,2023-02-19 19:18:59,2023-02-19 19:18:59,2023-02-19 19:18:59,failed
27,27,27,failed,2,46,2023-05-16 19:18:59,2023-05-16 19:18:59,2023-05-16 19:18:59,failed
28,28,28,success,2,43,2023-03-29 19:18:59,2023-03-29 19:18:59,2023-03-29 19:18:59,success
29,29,29,success,1,43,2023-03-21 19:18:59,2023-03-21 19:18:59,2023-03-21 19:18:59,success
30,30,30,failed,2,30,2023-08-19 19:18:59,2023-08-19 19:18:59,2023-08-19 19:18:59,failed
31,31,31,failed,2,68,2023-03-04 19:18:59,2023-03-04 19:18:59,2023-03-04 19:18:59,failed
32,32,32,failed,1,51,2023-07-11 19:18:59,2023-07-11 19:18:59,2023-07-11 19:18:59,failed
33,33,33,success,3,48,2023-07-07 19:18:59,2023-07-07 19:18:59,2023-07-07 19:18:59,success
34,34,34,failed,1,11,2023-02-01 19:18:59,2023-02-01 19:18:59,2023-02-01 19:18:59,failed
35,35,35,failed,2,56,2023-04-11 19:18:59,2023-04-11 19:18:59,2023-04-11 19:18:59,failed
36,36,36,success,1,32,2023-06-05 19:18:59,2023-06-05 19:18:59,2023-06-05 19:18:59,success
37,37,37,success,1,73,2023-08-28 19:18:59,2023-08-28 19:18:59,2023-08-28 19:18:59,success
38,38,38,failed,2,42,2022-09-09 19:18:59,2022-09-09 19:18:59,2022-09-09 19:18:59,failed
39,39,39,failed,1,57,2022-10-05 19:18:59,2022-10-05 19:18:59,2022-10-05 19:18:59,failed
40,40,40,success,3,84,2023-03-07 19:18:59,2023-03-07 19:18:59,2023-03-07 19:18:59,success
